iter	Passed	Remaining
198	5145	20713
199	5175	20703
200	5204	20688
201	5229	20659
202	5256	20637
203	5279	20600
204	5306	20578
205	5336	20567
206	5364	20549
207	5390	20524
208	5413	20488
209	5447	20491
210	5497	20555
211	5522	20526
212	5550	20510
213	5576	20482
214	5605	20466
215	5634	20452
216	5662	20433
217	5691	20416
218	5718	20392
219	5745	20370
220	5769	20337
221	5796	20315
222	5819	20276
223	5840	20231
224	5866	20206
225	5889	20170
226	5911	20130
227	5936	20099
228	5959	20066
229	5984	20033
230	6010	20010
231	6036	19984
232	6060	19948
233	6087	19927
234	6112	19899
235	6136	19864
236	6161	19835
237	6186	19806
238	6214	19787
239	6237	19752
240	6263	19725
241	6287	19694
242	6314	19670
243	6339	19641
244	6362	19606
245	6385	19572
246	6415	19558
247	6447	19551
248	6474	19527
249	6501	19503
250	6523	19466
251	6550	19443
252	6580	19429
253	6605	19400
254	6633	19379
255	6660	19356
256	6693	19351
257	6723	19336
258	6749	19309
259	6779	19294
260	6811	19287
261	6838	19262
262	6866	19241
263	6892	19215
264	6918	19188
265	6950	19178
266	6980	19164
267	7013	19155
268	7041	19135
269	7071	19120
270	7101	19104
271	7133	19092
272	7159	19065
273	7186	19042
274	7215	19023
275	7248	19013
276	7273	18984
277	7300	18960
278	7325	18931
279	7352	18906
280	7380	18885
281	7413	18875
282	7442	18855
283	7480	18858
284	7528	18888
285	7561	18876
286	7590	18857
287	7618	18833
288	7648	18817
289	7675	18791
290	7705	18774
291	7735	18756
292	7764	18736
293	7789	18704
294	7814	18676
295	7839	18644
296	7868	18625
297	7897	18605
298	7926	18584
299	7958	18569
300	7985	18545
301	8011	18517
302	8040	18496
303	8068	18472
304	8097	18451
305	8125	18428
306	8152	18403
307	8179	18377
308	8210	18360
309	8239	18340
310	8266	18314
311	8295	18292
312	8328	18279
313	8353	18250
314	8389	18243
315	8424	18235
316	8451	18210
317	8478	18183
318	8507	18161
319	8533	18134
320	8560	18108
321	8586	18080
322	8613	18054
323	8643	18034
324	8669	18006
325	8696	17979
326	8723	17954
327	8751	17929
328	8779	17905
329	8808	17883
330	8835	17857
331	8864	17836
332	8893	17812
333	8916	17779
334	8944	17755
335	8969	17726
336	8996	17698
337	9021	17668
338	9047	17642
339	9077	17621
340	9104	17594
341	9132	17570
342	9160	17547
343	9187	17520
344	9214	17494
345	9245	17475
346	9271	17448
347	9297	17419
348	9325	17395
349	9352	17369
350	9382	17347
351	9409	17322
352	9440	17303
353	9466	17275
354	9494	17249
355	9520	17222
356	9550	17201
357	9578	17176
358	9604	17149
359	9630	17120
360	9661	17101
361	9689	17077
362	9744	17100
363	9813	17146
364	9855	17145
365	9880	17115
366	9906	17086
367	9935	17062
368	9963	17037
369	9987	17005
370	10014	16978
371	10040	16949
372	10066	16920
373	10094	16895
374	10120	16867
375	10142	16831
376	10170	16806
377	10194	16774
378	10224	16752
379	10249	16723
380	10277	16696
381	10307	16675
382	10335	16650
383	10366	16629
384	10392	16600
385	10422	16578
386	10446	16547
387	10476	16524
388	10503	16497
389	10529	16468
390	10555	16440
391	10584	16416
392	10612	16390
393	10642	16368
394	10668	16340
395	10696	16315
396	10725	16290
397	10751	16261
398	10781	16240
399	10811	16217
400	10839	16192
401	10869	16169
402	10897	16143
403	10922	16113
